probe;50;0;17;1;0;0;0;protoss; nexus ;
zealot;100;0;38;2;0;0;0;protoss; gateway ;
stalker;125;50;42;2;0;0;0;protoss; gateway ;cybernetics_core
sentry;50;100;37;2;0;0;0;protoss; gateway ;cybernetics_core
warp_prism;200;0;50;2;0;0;0;protoss; robotics_facility ;
immortal;250;100;55;3;0;0;0;protoss; robotics_facility ;
observer;25;75;30;1;0;0;0;protoss; robotics_facility ;
colossus;300;200;75;6;0;0;0;protoss; robotics_facility ;robotics_bay
high_templar;50;150;55;2;0;0;0;protoss; gateway ;templar_archives
dark_templar;125;125;55;2;0;0;0;protoss; gateway ;dark_shrine
mothership;400;400;160;8;0;0;0;protoss; nexus ;fleet_beacon
phoenix;150;100;35;2;0;0;0;protoss; stargate ;
void_ray;250;150;60;3;0;0;0;protoss; stargate ;
carrier;350;250;120;6;0;0;0;protoss; stargate ;fleet_beacon
#buildings;;;;;0;;;;;
nexus;400;0;100;0;10;0;100;protoss; probe ;
pylon;100;0;25;0;8;0;0;protoss; probe ;
gateway;150;0;65;0;0;0;0;protoss; probe ;pylon
cybernetics_core;150;0;50;0;0;0;0;protoss; probe ;gateway
robotics_facility;200;100;65;0;0;0;0;protoss; probe ;cybernetics_core
robotics_bay;200;200;65;0;0;0;0;protoss; probe ;robotics_facility
twilight_council;150;100;50;0;0;0;0;protoss; probe ;cybernetics_core
templar_archives;150;200;50;0;0;0;0;protoss; probe ;twilight_council
dark_shrine;100;150;100;0;0;0;0;protoss; probe ;twilight_council
stargate;150;150;60;0;0;0;0;protoss; probe ;cybernetics_core
fleet_beacon;300;200;60;0;0;0;0;protoss; probe ;stargate
assimilator;75;0;30;0;0;0;0;protoss; probe ;
forge;150;0;45;0;0;0;0;protoss; probe ;pylon
photon_cannon;150;0;40;0;0;0;0;protoss; probe ;forge
